win,gameDuration,kills,deaths,csPerMinute,dmgPerMinute
0,1605,3,9,6.4,429
0,2326,9,9,7.2,814
1,1824,9,3,7.4,716
1,1534,3,2,8.3,352
0,1946,8,10,7.0,680
1,1420,10,7,7.1,739
1,1696,13,4,8.8,646
0,1746,15,4,9.0,1003
0,1286,1,12,6.5,455
0,1590,4,10,6.6,572
1,1747,10,13,6.8,745
1,1805,7,8,7.0,1120
1,1552,8,8,7.7,618
0,1281,4,4,8.0,496
0,1060,4,7,5.5,625
0,1865,21,6,8.6,1302
1,1840,12,7,7.4,755
0,1292,2,4,8.1,356
0,1516,5,8,7.4,435
0,1403,7,6,8.8,611
1,1631,11,9,6.8,819
1,1409,16,4,7.5,959
0,2156,8,7,7.9,900
0,1777,2,9,7.2,376
0,1180,1,4,7.8,387
0,1484,4,11,7.8,716
1,1404,4,6,6.9,546
1,1619,5,9,6.2,587
1,1452,3,3,7.4,587
0,2201,8,12,5.9,684
1,1496,4,2,7.6,501
1,1826,5,8,5.8,521
1,2108,9,4,9.6,974
0,1653,6,8,6.8,600
1,1763,5,3,8.3,595
1,1238,6,3,6.5,655
1,1479,5,7,7.6,433
1,1535,9,3,7.7,1099
1,1999,9,8,8.6,604
1,1808,11,10,5.7,834
1,1966,10,6,7.2,970
1,1937,11,7,7.7,628
0,1396,2,5,6.3,519
1,1952,16,8,6.2,1148
1,1731,9,4,7.8,679
0,1931,9,7,5.6,668
1,2112,8,1,8.9,748
0,2110,14,8,7.6,1205
1,892,6,2,9.0,469
0,1510,6,4,7.8,645
0,1807,9,6,7.9,810
1,2518,8,13,6.7,617
1,1393,3,5,7.1,335
1,1345,8,4,8.3,562
1,1269,18,1,10.3,1092
0,1509,3,11,7.2,798
0,1473,5,10,7.7,923
1,1777,20,9,6.4,1758
0,1717,7,9,8.6,945
0,1382,3,7,7.6,650
1,1604,15,8,7.6,810
1,1564,25,3,9.4,1884
0,1965,10,10,6.5,1125
0,1772,0,9,8.1,306
1,1796,2,5,7.3,450
1,1799,6,9,6.7,544
1,1401,7,9,7.5,747
0,1360,2,9,6.4,558
1,1902,10,9,8.0,984
1,1990,11,4,8.2,821
1,1502,9,11,6.0,1146
0,1630,3,5,7.4,616
