win,gameDuration,kills,deaths,csPerMinute,dmgPerMinute
1,1293,4,2,7.0,661
1,1777,11,3,7.1,781
1,1372,2,6,6.4,447
0,1760,3,10,6.2,525
0,1921,8,7,7.0,773
1,1431,3,1,9.0,360
0,1810,2,5,7.9,543
0,723,3,0,7.4,436
0,1413,5,8,6.7,670
1,1602,7,1,6.8,595
0,1000,0,5,5.8,245
1,1742,2,4,6.2,495
0,1631,2,3,8.0,517
0,1483,2,4,7.2,447
0,1248,2,3,6.5,400
1,881,1,0,9.1,451
1,1502,10,3,7.7,772
0,1921,1,6,8.0,659
0,1560,6,4,5.9,465
1,2042,10,3,8.5,829
0,1657,4,4,7.1,708
1,1454,2,4,7.4,355
1,1503,5,6,5.9,495
0,1663,9,2,7.8,713
0,1969,5,5,7.3,760
1,2130,11,5,6.8,1011
1,1586,2,6,6.3,458
0,2970,7,4,7.7,1186
1,1327,10,1,8.6,868
1,2223,4,8,5.7,877
0,1765,4,6,7.7,602
0,1472,2,3,7.6,825
0,2528,6,5,8.4,935
1,1620,11,3,6.7,709
0,1560,5,2,6.7,543
0,903,0,3,5.8,498
1,1596,3,5,8.0,605
1,1521,2,1,6.8,378
1,1600,8,6,5.5,596
0,2094,7,5,7.4,1068
