win,gameDuration,kills,deaths,csPerMinute,dmgPerMinute
1,1620,6,5,4.9,444
1,1896,8,6,6.3,626
1,1824,5,7,5.3,468
0,676,1,4,3.9,356
1,1765,6,8,5.8,662
0,1365,9,8,6.1,808
1,1463,6,6,5.6,763
1,1344,13,2,7.5,808
0,1120,2,4,6.1,447
1,2527,6,9,6.9,668
1,1275,5,4,9.2,454
1,1851,13,3,8.1,699
1,1792,10,3,8.4,717
1,1771,2,6,6.6,287
1,966,4,0,9.4,364
0,2094,8,8,5.8,584
1,1486,12,0,8.6,650
1,1469,10,4,6.9,828
0,1656,2,5,8.7,589
0,1604,0,7,7.7,450
0,2510,4,10,6.9,403
0,1470,2,3,6.2,386
0,1619,7,7,7.7,587
0,1779,5,7,7.0,565
0,1169,1,4,6.1,332
1,1884,9,2,7.2,619
1,2016,4,8,6.5,576
1,1630,8,0,9.3,616
1,1253,5,5,7.7,529
0,1586,7,5,7.4,730
0,2135,6,10,6.0,463
0,1476,2,6,6.8,466
1,1742,6,3,8.7,634
0,2138,2,11,6.5,384
1,1560,0,11,5.1,365
0,1420,0,2,6.6,409
0,1512,4,3,8.1,674
1,1180,3,1,7.9,428
1,1757,5,5,7.1,471
1,1864,7,7,7.0,662
0,1713,10,6,5.3,694
1,1999,4,8,8.2,724
0,1360,10,7,6.3,983
1,940,9,0,8.4,647
1,1830,9,5,6.4,673
1,575,0,1,4.8,296
0,1039,2,6,4.9,515
1,1403,10,4,4.7,750
1,1355,5,4,4.6,403
1,2319,11,6,8.3,621
1,1355,8,2,7.1,775
1,1327,12,3,7.1,858
0,1691,6,12,5.1,547
1,1764,10,3,7.6,655
0,1740,5,4,8.3,685
1,2046,5,3,8.3,483
0,1839,2,11,5.6,461
0,1985,6,6,8.5,400
0,1539,1,8,5.6,374
0,1427,5,4,8.1,565
0,1742,6,9,5.0,471
0,1223,3,5,7.2,425
1,1740,5,8,6.7,513
0,1953,7,7,6.2,635
1,1446,4,1,8.8,543
1,1463,7,1,9.0,568
1,1217,13,1,6.8,907
0,1372,3,3,8.9,326
1,1301,1,1,7.1,232
1,1446,15,2,6.8,994
1,1581,13,4,7.2,676
0,1582,3,4,6.9,571
0,1711,10,5,7.6,978
0,1352,8,7,6.2,639
1,1959,9,3,7.4,537
1,1743,17,3,8.1,1204
1,2119,13,4,8.6,1130
1,1672,29,4,7.6,2105
1,1655,12,4,8.3,840
1,1846,8,0,7.6,664
1,1755,9,3,8.3,719
1,1538,3,1,7.9,558
0,1251,0,9,6.2,487
1,1494,11,2,8.6,898
0,1519,2,7,7.4,462
0,1502,2,7,6.4,278
0,1392,1,4,6.5,308
1,1669,5,7,6.0,608
1,1190,10,3,8.9,937
0,1367,2,6,6.7,443
0,1655,6,7,7.9,533
1,1484,8,3,8.5,650
1,637,3,0,6.1,172
1,1006,4,2,6.8,507
1,1819,18,3,4.5,849
0,2075,15,11,4.7,873
0,1226,0,2,6.4,306
1,1849,11,6,4.3,750
1,1361,4,4,5.6,455
0,1241,4,4,7.4,517
0,1753,5,10,5.9,591
1,2053,14,10,6.1,925
1,1462,8,3,6.4,812
0,1386,7,6,5.0,787
1,1230,5,3,7.1,574
1,1567,7,6,5.6,590
0,1326,1,5,6.8,411
1,2299,3,9,4.9,375
1,1854,16,2,7.0,1143
1,1892,13,5,5.0,915
1,1726,1,4,6.1,502
0,1719,10,6,6.6,741
1,1829,10,8,5.4,562
0,2066,4,8,7.7,271
1,2195,6,8,8.0,885
1,1765,6,5,7.0,497
1,1628,10,3,8.0,805
1,1801,7,8,7.3,568
1,1204,4,2,7.8,437
0,1674,7,3,7.3,616
1,2490,3,5,8.8,623
1,1683,8,3,9.3,806
1,1321,6,3,6.2,651
0,1728,6,9,4.8,528
0,1598,0,6,6.1,217
0,1361,0,3,8.2,217
1,2439,7,11,7.4,649
0,1654,1,9,6.7,519
0,1346,2,6,5.8,474
1,1289,2,2,8.0,362
0,2231,5,5,7.0,576
0,1395,1,2,6.3,91
1,1967,6,0,9.2,631
1,1571,5,2,8.5,412
1,1638,10,6,6.3,704
1,2402,13,1,6.0,544
1,1709,6,5,8.5,501
0,1109,0,9,5.1,319
1,1877,5,5,6.8,559
1,1979,14,4,8.8,592
0,2035,7,9,7.9,1066
1,1168,2,4,7.2,501
0,1417,3,9,7.0,760
1,1406,7,1,9.4,442
0,1583,4,4,7.5,631
1,1408,4,6,7.2,527
1,1318,6,3,7.9,486
0,1849,10,7,6.2,769
0,1112,2,5,6.6,617
0,1149,4,3,5.8,654
