win,gameDuration,kills,deaths,csPerMinute,dmgPerMinute
1,1961,14,4,8.4,1409
0,1061,0,5,5.9,192
0,1462,2,7,7.3,519
1,2332,18,6,10.1,1227
0,1742,5,7,8.5,513
1,1953,15,9,7.7,1071
1,2253,15,5,9.5,1034
0,1490,5,11,7.1,801
1,1550,13,5,9.4,1014
1,1677,15,4,7.5,707
1,1684,2,4,6.9,194
0,1597,4,6,8.2,703
1,1854,9,2,8.0,635
0,1682,8,6,8.0,673
1,1762,13,4,7.6,918
1,1950,11,5,9.3,950
1,1450,2,7,7.2,452
0,1853,7,6,7.9,493
0,1733,7,4,7.9,761
1,1353,4,1,8.4,394
0,1700,11,9,7.6,744
0,1474,9,7,6.7,810
1,2302,11,10,8.4,834
1,2003,9,9,7.8,830
0,1255,1,2,8.5,452
1,1630,4,3,9.0,481
0,2179,18,11,7.8,1487
1,1403,9,3,8.2,721
0,865,4,4,5.8,561
1,1507,11,4,8.5,878
1,1889,7,4,7.8,492
1,2065,19,8,7.6,967
1,1484,8,4,8.0,623
1,1210,9,3,7.0,585
0,1905,7,9,8.3,1051
0,1845,9,5,8.5,684
0,1585,6,7,7.0,517
1,1641,10,4,9.7,736
1,1929,16,5,8.9,1088
1,1891,9,7,8.3,730
1,1998,7,4,7.2,676
0,1540,5,9,7.3,388
1,1513,12,2,9.2,605
1,1401,8,2,7.6,363
1,1549,7,4,6.4,605
1,2021,4,9,7.0,417
1,2143,9,6,7.7,796
0,1664,3,6,6.1,319
1,1162,5,6,7.2,536
0,1629,2,9,6.0,363
0,1347,7,5,7.5,492
1,1658,10,2,7.7,437
1,1654,17,4,7.8,1442
